name	Dmax	r0	r1	r2	r3	r4	eps	z	chi2	k	maxQ	L1	BIC
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	10	0.2	4.32175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	6	0.2	3.92175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	10	0.2	4.32175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	7	0.2	4.02175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	10	0.2	4.32175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	8	0.2	4.12175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	10	0.2	4.32175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	9	0.2	4.22175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	10	0.2	4.32175269696
ln_sin_theta12	11	0.111111111111	0	0	0	-0.125	-0.0038777947856	-0.38777947856	0.150372923992	2	9	0.236111111111	4.26924874886
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	10	0.2	4.32175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	10	0.2	4.32175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	11	0.2	4.42175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	11	0.2	4.42175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	10	0.2	4.32175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	10	0.2	4.32175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	10	0.2	4.32175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	10	0.2	4.32175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	10	0.2	4.32175269696
ln_sin_theta12	11	0	0.2	0	0	-0.142857142857	0.0112162261715	1.12162261715	1.2580372953	2	7	0.342857142857	5.17691312017
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	6	0.2	3.92175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	10	0.2	4.32175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	7	0.2	4.02175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	10	0.2	4.32175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	8	0.2	4.12175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	10	0.2	4.32175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	9	0.2	4.22175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	10	0.2	4.32175269696
ln_sin_theta12	11	0	0.111111111111	0	0	-0.166666666667	0.000117784024229	0.0117784024229	0.000138730763637	2	9	0.277777777778	4.11901455563
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	10	0.2	4.32175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	10	0.2	4.32175269696
ln_sin_theta12	11	0	0.2	0	0	-0.142857142857	0.0112162261715	1.12162261715	1.2580372953	2	10	0.342857142857	5.47691312017
ln_sin_theta12	11	0	-0.181818181818	0	0	-0.25	0.000144481444032	0.0144481444032	0.000208748876695	2	11	0.431818181818	4.31908457374
ln_sin_theta12	11	0	-0.181818181818	0	0	-0.25	0.000144481444032	0.0144481444032	0.000208748876695	2	11	0.431818181818	4.31908457374
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	11	0.2	4.42175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	11	0.2	4.42175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	10	0.2	4.32175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	10	0.2	4.32175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	10	0.2	4.32175269696
ln_sin_theta12	11	0	0	0.333333333333	0	-0.25	0.00728030218008	0.728030218008	0.530027998332	2	4	0.583333333333	4.1489038232
ln_sin_theta12	11	0	0	0.333333333333	0	-0.25	0.00728030218008	0.728030218008	0.530027998332	2	8	0.583333333333	4.5489038232
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	10	0.2	4.32175269696
ln_sin_theta12	11	0	0	-0.2	0	-0.166666666667	-0.00848273563242	-0.848273563242	0.719568038096	2	6	0.366666666667	4.53844386296
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	5	0.2	3.82175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	10	0.2	4.32175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	6	0.2	3.92175269696
ln_sin_theta12	11	0	0	0	0	-0.2	0.0130855446372	1.30855446372	1.71231478453	1	10	0.2	4.32175269696
ln_sin_theta12	11	0	0	0.166666666667	0	-0.222222222222	-0.0106932647113	-1.06932647113	1.14345910186	2	9	0.388888888889	5.26233492673
