S_micro	T_micro	diff	mA	mB	nA	nB
226000	-158381	70245	226000	-158381	1	1
226000	-157381	70502	226000	-157381	1	1
226000	-156381	70773	226000	-156381	1	1
226000	-155381	71057	226000	-155381	1	1
226000	-154381	71353	226000	-154381	1	1
226000	-153381	71663	226000	-153381	1	1
226000	-152381	71985	226000	-152381	1	1
226000	-151381	72319	226000	-151381	1	1
226000	-150381	72665	226000	-150381	1	1
226000	-149381	73024	226000	-149381	1	1
226000	-148381	73394	226000	-148381	1	1
226000	-147381	73777	226000	-147381	1	1
226000	-146381	74170	226000	-146381	1	1
226000	-145381	74575	226000	-145381	1	1
226000	-144381	74991	226000	-144381	1	1
226000	-143381	75418	226000	-143381	1	1
226000	-142381	75856	226000	-142381	1	1
226000	-141381	76305	226000	-141381	1	1
226000	-140381	76764	226000	-140381	1	1
226000	-139381	77233	226000	-139381	1	1
226000	-138381	77712	226000	-138381	1	1
226000	-137381	78201	226000	-137381	1	1
226000	-136381	78699	226000	-136381	1	1
226000	-135381	79207	226000	-135381	1	1
226000	-134381	79725	226000	-134381	1	1
226000	-133381	80251	226000	-133381	1	1
226000	-132381	80787	226000	-132381	1	1
226000	-131381	81331	226000	-131381	1	1
226000	-130381	81884	226000	-130381	1	1
226000	-129381	82445	226000	-129381	1	1
226000	-128381	83015	226000	-128381	1	1
226000	-127381	83593	226000	-127381	1	1
226000	-126381	84178	226000	-126381	1	1
226000	-125381	84771	226000	-125381	1	1
226000	-124381	85372	226000	-124381	1	1
226000	-123381	85981	226000	-123381	1	1
226000	-122381	86596	226000	-122381	1	1
226000	-121381	87219	226000	-121381	1	1
226000	-120381	87849	226000	-120381	1	1
226000	-119381	88485	226000	-119381	1	1
226000	-118381	89128	226000	-118381	1	1
226000	-117381	89778	226000	-117381	1	1
226000	-116381	90434	226000	-116381	1	1
226000	-115381	91096	226000	-115381	1	1
226000	-114381	91765	226000	-114381	1	1
226000	-113381	92439	226000	-113381	1	1
226000	-112381	93120	226000	-112381	1	1
226000	-111381	93806	226000	-111381	1	1
226000	-110381	94497	226000	-110381	1	1
226000	-109381	95195	226000	-109381	1	1
226000	-108381	95897	226000	-108381	1	1
226000	-107381	96605	226000	-107381	1	1
226000	-106381	97318	226000	-106381	1	1
227000	-261381	108530	227000	-261381	1	1
227000	-260381	107745	227000	-260381	1	1
227000	-259381	106964	227000	-259381	1	1
227000	-258381	106186	227000	-258381	1	1
227000	-257381	105412	227000	-257381	1	1
227000	-256381	104642	227000	-256381	1	1
227000	-255381	103876	227000	-255381	1	1
227000	-254381	103114	227000	-254381	1	1
227000	-253381	102356	227000	-253381	1	1
227000	-252381	101602	227000	-252381	1	1
227000	-251381	100852	227000	-251381	1	1
227000	-250381	100107	227000	-250381	1	1
227000	-249381	99366	227000	-249381	1	1
227000	-248381	98630	227000	-248381	1	1
227000	-247381	97899	227000	-247381	1	1
227000	-246381	97172	227000	-246381	1	1
227000	-245381	96450	227000	-245381	1	1
227000	-244381	95733	227000	-244381	1	1
227000	-243381	95022	227000	-243381	1	1
227000	-242381	94315	227000	-242381	1	1
227000	-241381	93614	227000	-241381	1	1
227000	-240381	92918	227000	-240381	1	1
227000	-239381	92228	227000	-239381	1	1
227000	-238381	91544	227000	-238381	1	1
227000	-237381	90865	227000	-237381	1	1
227000	-236381	90193	227000	-236381	1	1
227000	-235381	89527	227000	-235381	1	1
227000	-234381	88866	227000	-234381	1	1
227000	-233381	88213	227000	-233381	1	1
227000	-232381	87566	227000	-232381	1	1
227000	-231381	86925	227000	-231381	1	1
227000	-230381	86291	227000	-230381	1	1
227000	-229381	85665	227000	-229381	1	1
227000	-228381	85045	227000	-228381	1	1
227000	-227381	84433	227000	-227381	1	1
227000	-226381	83828	227000	-226381	1	1
227000	-225381	83231	227000	-225381	1	1
227000	-224381	82642	227000	-224381	1	1
227000	-223381	82060	227000	-223381	1	1
227000	-222381	81487	227000	-222381	1	1
227000	-221381	80922	227000	-221381	1	1
227000	-220381	80365	227000	-220381	1	1
227000	-219381	79817	227000	-219381	1	1
227000	-218381	79278	227000	-218381	1	1
227000	-217381	78748	227000	-217381	1	1
227000	-216381	78228	227000	-216381	1	1
227000	-215381	77716	227000	-215381	1	1
227000	-214381	77214	227000	-214381	1	1
227000	-213381	76722	227000	-213381	1	1
227000	-212381	76240	227000	-212381	1	1
227000	-211381	75768	227000	-211381	1	1
227000	-210381	75306	227000	-210381	1	1
